epoch, batch, loss, loss_f, loss_e, f_mae, f_rmse, e_mae, e_rmse
   58,     2,          0.30901,          0.14654,         0.054157,          0.18646,          0.31786,         0.044973,         0.069275
   58,     3,          0.30184,          0.14503,         0.052269,           0.1867,          0.31621,         0.043396,         0.070411
   58,     4,          0.16914,         0.097702,         0.023811,          0.15009,          0.25954,         0.019775,         0.027081
   59,     1,           0.4675,          0.14542,          0.10736,          0.18762,          0.31664,         0.089144,          0.10774
   59,     2,          0.34833,         0.076258,         0.090691,          0.15171,          0.22929,           0.0753,         0.081074
   59,     3,          0.15941,         0.074622,         0.028263,          0.15094,          0.22682,          0.02347,         0.029672
   59,     4,          0.68045,          0.28149,          0.13299,          0.25783,          0.44054,          0.11042,          0.12092
   60,     1,          0.61069,          0.16133,          0.14979,          0.18692,          0.33351,          0.12437,          0.13825
   60,     2,          0.46355,          0.12423,          0.11311,          0.17184,          0.29266,         0.093918,         0.095303
   60,     3,         0.094458,         0.057127,         0.012444,          0.13315,          0.19846,          0.01033,         0.010797
   60,     4,          0.33464,         0.092166,         0.080826,          0.16223,          0.25208,         0.067116,         0.067434
   61,     1,          0.66919,           0.1237,          0.18183,          0.17813,          0.29203,          0.15098,          0.19812
   61,     2,          0.14769,         0.084956,         0.020912,          0.15038,          0.24202,         0.017363,          0.02196
   61,     3,          0.54687,          0.14552,          0.13379,          0.19063,          0.31674,          0.11109,          0.13987
   61,     4,          0.38089,         0.077893,            0.101,          0.14857,          0.23174,         0.083858,         0.084104
   62,     1,          0.45285,          0.14626,           0.1022,          0.19681,          0.31755,         0.084854,          0.10469
   62,     2,          0.26011,         0.044936,         0.071724,          0.11661,          0.17601,         0.059555,         0.061798
   62,     3,          0.41535,          0.11257,          0.10093,          0.16229,          0.27859,         0.083801,          0.11074
   62,     4,          0.10051,         0.042218,         0.019432,          0.11528,          0.17061,         0.016136,          0.01653
   63,     1,          0.35964,          0.12141,         0.079411,          0.17519,          0.28932,         0.065935,         0.071802
   63,     2,           0.2694,         0.040213,         0.076397,          0.10542,          0.16651,         0.063437,          0.06401
   63,     3,          0.22007,          0.13571,         0.028118,          0.18767,          0.30589,         0.023344,         0.028491
   63,     4,          0.37702,         0.050517,          0.10883,          0.12539,          0.18662,          0.09037,         0.090371
   64,     1,          0.37411,          0.10469,         0.089806,          0.16156,          0.26867,         0.074568,         0.076876
   64,     2,          0.25003,          0.11456,         0.045155,          0.17695,          0.28104,         0.037491,         0.059418
   64,     3,          0.20524,         0.045584,         0.053219,          0.12446,          0.17728,         0.044189,         0.045953
   64,     4,          0.21859,         0.069152,         0.049812,          0.14281,          0.21835,         0.041355,         0.043381
   65,     1,          0.18983,         0.058889,         0.043648,           0.1373,           0.2015,         0.036242,         0.037564
   65,     2,          0.50619,          0.15515,          0.11701,          0.19555,          0.32706,          0.09716,          0.10923
   65,     3,          0.16798,         0.055304,          0.03756,          0.13197,          0.19527,         0.031187,         0.032728
   65,     4,          0.14152,         0.044179,         0.032448,          0.11971,          0.17453,         0.026943,         0.027936
   66,     1,          0.11053,          0.04118,         0.023117,          0.11008,           0.1685,         0.019199,          0.02177
   66,     2,          0.39012,            0.165,         0.075039,          0.20556,          0.33728,         0.062307,         0.063783
   66,     3,          0.23066,         0.050125,         0.060177,          0.12009,           0.1859,         0.049971,         0.051738
   66,     4,           0.1037,         0.040642,         0.021019,          0.11129,          0.16739,         0.017452,         0.017928
   67,     1,          0.26063,          0.04065,         0.073326,          0.10868,          0.16741,         0.060884,         0.062233
   67,     2,          0.23202,          0.05303,         0.059662,          0.12705,          0.19121,         0.049541,         0.052592
   67,     3,          0.20864,          0.10219,         0.035484,          0.16662,          0.26543,         0.029463,         0.038808
   67,     4,          0.27181,           0.1549,         0.038971,          0.18998,          0.32679,         0.032364,         0.039768
   68,     1,          0.37372,          0.16288,         0.070282,          0.21222,          0.33511,         0.058359,         0.066812
   68,     2,         0.098877,         0.046726,         0.017384,          0.12207,          0.17949,         0.014435,         0.022405
   68,     3,          0.23993,         0.056696,         0.061077,          0.12902,          0.19771,         0.050716,         0.051354
   68,     4,          0.16624,         0.049583,         0.038887,          0.12709,          0.18489,         0.032295,          0.03362
   69,     1,          0.21478,          0.10341,         0.037125,           0.1754,          0.26701,         0.030823,         0.031126
   69,     2,          0.26081,          0.11636,         0.048149,          0.17868,          0.28324,         0.039984,         0.042539
   69,     3,          0.10482,         0.057062,         0.015919,          0.12832,          0.19835,         0.013218,         0.021839
   69,     4,          0.14299,         0.049811,         0.031059,          0.11928,          0.18532,         0.025787,         0.026029
   70,     1,          0.12675,         0.059763,         0.022327,          0.13279,          0.20299,         0.018536,         0.019247
   70,     2,          0.34483,          0.10263,         0.080734,          0.17496,            0.266,         0.067036,         0.076629
   70,     3,            0.247,         0.060061,         0.062313,          0.12981,          0.20349,         0.051743,         0.052707
   70,     4,          0.44867,          0.12295,          0.10857,          0.17796,          0.29114,         0.090149,          0.11105
   71,     1,          0.23614,         0.059706,         0.058811,          0.12919,          0.20289,         0.048834,         0.050301
   71,     2,           0.1577,         0.055645,         0.034019,          0.12373,          0.19587,         0.028246,         0.032662
   71,     3,          0.19795,         0.088926,         0.036343,          0.16159,          0.24761,         0.030176,         0.030778
   71,     4,          0.34502,          0.12687,         0.072716,          0.18493,          0.29576,         0.060379,         0.070049
   72,     1,          0.17807,          0.12316,         0.018303,          0.18468,           0.2914,         0.015202,         0.016287
   72,     2,          0.19206,         0.039598,         0.050819,          0.10959,          0.16523,         0.042198,         0.043568
   72,     3,          0.23293,         0.062756,         0.056725,          0.13347,          0.20801,         0.047102,         0.047646
