epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_e_mae,training_e_rmse,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_e_mae,validation_e_rmse
       114, 1268.616,     0.01,          0.27605,          0.18397,          0.82797,         0.23,        0.455,        0.162,        0.173,          0.39984,         0.049019,           0.5469,        0.269,        0.539,       0.0418,       0.0418
       115, 1279.709,     0.01,          0.23422,          0.18115,          0.77766,         0.22,        0.416,        0.152,        0.177,          0.39893,          0.12255,          0.76659,        0.265,        0.538,        0.104,         0.11
       116, 1290.911,     0.01,          0.25407,         0.099742,          0.55329,        0.226,        0.438,       0.0815,       0.0929,          0.42016,         0.060463,          0.60155,        0.274,        0.553,       0.0515,       0.0636
       117, 1302.254,     0.01,           0.2499,          0.12078,          0.61224,        0.224,        0.422,       0.0974,        0.125,          0.37297,         0.052502,          0.53047,        0.264,        0.521,       0.0448,       0.0521
       118, 1313.571,     0.01,          0.26787,          0.11418,           0.6104,        0.226,        0.432,        0.102,        0.122,          0.38723,         0.053036,          0.54634,        0.263,         0.53,       0.0452,       0.0452
       119, 1324.760,     0.01,          0.22851,         0.063673,          0.41953,        0.219,        0.419,       0.0568,       0.0704,          0.38793,         0.055656,           0.5549,        0.261,        0.531,       0.0474,       0.0617
       120, 1335.681,     0.01,          0.24394,         0.049329,          0.39193,        0.216,        0.414,       0.0424,       0.0518,          0.33865,         0.063477,          0.52908,         0.25,        0.496,       0.0541,       0.0712
       121, 1346.838,     0.01,          0.21194,         0.096151,          0.50039,        0.215,        0.403,       0.0726,       0.0905,          0.36274,          0.11673,          0.71292,         0.26,        0.513,       0.0995,        0.106
       122, 1357.970,     0.01,           0.2167,         0.093933,           0.4985,        0.211,        0.387,       0.0729,       0.0859,          0.31195,          0.13233,          0.70894,        0.243,        0.476,        0.113,        0.116
       123, 1369.131,     0.01,           0.2453,         0.060739,          0.42752,        0.225,        0.422,       0.0551,       0.0724,          0.36844,         0.063629,          0.55933,         0.25,        0.517,       0.0542,       0.0553
       124, 1380.242,     0.01,          0.23194,         0.052744,          0.39017,        0.222,        0.417,       0.0483,       0.0659,          0.33931,         0.017548,          0.39196,        0.246,        0.497,        0.015,        0.015
       125, 1391.572,     0.01,          0.18396,          0.05233,          0.34094,        0.205,        0.376,       0.0492,        0.057,          0.25289,         0.046101,           0.3912,        0.228,        0.429,       0.0393,       0.0404
       126, 1402.911,     0.01,           0.1892,         0.047163,          0.33069,          0.2,        0.359,       0.0406,       0.0552,          0.23238,         0.097782,          0.52572,        0.218,        0.411,       0.0833,       0.0999
       127, 1414.127,     0.01,          0.16251,          0.09316,          0.44199,        0.199,        0.357,       0.0835,       0.0954,          0.16597,          0.21021,          0.79658,        0.198,        0.347,        0.179,        0.184
       128, 1425.199,     0.01,          0.15381,           0.2306,          0.84562,         0.19,        0.335,        0.204,        0.211,          0.25206,          0.02911,          0.33939,        0.226,        0.428,       0.0248,       0.0267
       129, 1436.316,     0.01,          0.18191,          0.12929,          0.56977,        0.203,        0.368,        0.107,        0.126,          0.25224,          0.12512,          0.62761,        0.222,        0.428,        0.107,        0.109
       130, 1447.380,     0.01,          0.15852,          0.24458,          0.89227,        0.192,        0.338,          0.2,        0.223,          0.18855,          0.23475,          0.89278,        0.202,         0.37,          0.2,        0.204
       131, 1458.476,     0.01,          0.22499,          0.15784,          0.69852,        0.196,        0.367,        0.136,        0.147,          0.31626,          0.23353,           1.0169,        0.242,        0.479,        0.199,        0.203
       132, 1469.622,     0.01,          0.23042,          0.23518,          0.93596,         0.21,        0.402,        0.205,        0.229,          0.31816,         0.089653,          0.58712,        0.245,        0.481,       0.0764,       0.0812
       133, 1480.952,     0.01,          0.19885,          0.21543,          0.84514,        0.206,        0.373,        0.183,         0.19,           0.2609,           0.2063,          0.87979,        0.228,        0.435,        0.176,         0.18
       134, 1492.246,     0.01,          0.20552,         0.082975,          0.45445,          0.2,        0.369,       0.0742,       0.0964,          0.26697,         0.058968,          0.44387,        0.226,         0.44,       0.0503,       0.0544
       135, 1503.314,     0.01,          0.17483,         0.067719,          0.37799,        0.198,        0.367,       0.0547,       0.0672,          0.25979,          0.04438,          0.39293,        0.226,        0.434,       0.0378,       0.0412
       136, 1514.417,     0.01,          0.21797,         0.040922,          0.34073,          0.2,        0.371,       0.0317,       0.0385,          0.27716,         0.031837,          0.37267,         0.23,        0.449,       0.0271,       0.0376
       137, 1525.632,     0.01,          0.19415,         0.035442,          0.30048,        0.202,        0.376,       0.0287,       0.0354,          0.24035,         0.031101,          0.33365,        0.223,        0.418,       0.0265,       0.0309
       138, 1536.695,     0.01,           0.1751,         0.078409,          0.41033,        0.191,        0.349,       0.0619,       0.0693,          0.17114,         0.060673,          0.35316,        0.193,        0.353,       0.0517,       0.0612
       139, 1547.783,     0.01,           0.1366,         0.048371,          0.28171,        0.183,        0.325,       0.0399,       0.0486,          0.16797,         0.041706,          0.29309,        0.198,        0.349,       0.0355,       0.0357
       140, 1558.970,     0.01,          0.17019,         0.033631,          0.27108,        0.184,        0.325,       0.0269,       0.0329,          0.15581,          0.04493,           0.2906,        0.194,        0.336,       0.0383,       0.0443
       141, 1570.406,     0.01,          0.13681,         0.041362,          0.26089,        0.184,        0.316,       0.0359,       0.0489,           0.1271,         0.043247,          0.25685,        0.185,        0.304,       0.0369,       0.0431
       142, 1581.687,     0.01,          0.11658,         0.040051,          0.23673,        0.173,        0.296,       0.0322,        0.039,           0.1158,         0.056183,          0.28435,        0.176,         0.29,       0.0479,       0.0549
       143, 1592.754,     0.01,          0.11493,         0.043188,           0.2445,         0.17,        0.293,       0.0363,       0.0448,         0.086301,         0.060299,           0.2672,        0.161,         0.25,       0.0514,        0.059
       144, 1603.893,     0.01,          0.12075,         0.065873,          0.31837,         0.17,        0.293,       0.0532,       0.0737,         0.098911,         0.066196,           0.2975,        0.162,        0.268,       0.0564,       0.0697
       145, 1614.989,     0.01,          0.10747,          0.06876,          0.31375,        0.167,        0.282,        0.058,       0.0647,          0.10206,         0.049377,          0.25019,        0.166,        0.272,       0.0421,       0.0502
       146, 1626.049,     0.01,          0.12658,         0.049349,          0.27463,        0.164,        0.276,       0.0458,       0.0793,          0.12224,         0.072922,            0.341,        0.174,        0.298,       0.0622,       0.0637
